block,trial,subj,trialType,cue,probe,response,rt,accuracy
0,0,s998,BY,B,Y,nan,nan,False
0,1,s998,NG,B,4,nan,nan,True
0,2,s998,BY,B,Y,nan,nan,False
0,3,s998,AX,A,X,nan,nan,False
0,4,s998,NG,A,1,nan,nan,True
0,5,s998,BY,B,Y,nan,nan,False
0,6,s998,NG,A,9,nan,nan,True
0,7,s998,BY,B,Y,nan,nan,False
0,8,s998,BY,B,Y,nan,nan,False
0,9,s998,AX,A,X,nan,nan,False
0,10,s998,AY,E,Y,nan,nan,False
0,11,s998,BY,B,Y,nan,nan,False
0,12,s998,NG,A,3,nan,nan,True
0,13,s998,NG,B,3,nan,nan,True
0,14,s998,AX,A,X,nan,nan,False
0,15,s998,BY,B,Y,nan,nan,False
0,16,s998,BY,B,Y,nan,nan,False
0,17,s998,AX,A,X,nan,nan,False
0,18,s998,BY,B,Y,nan,nan,False
0,19,s998,AX,A,X,nan,nan,False
0,20,s998,BY,B,Y,nan,nan,False
0,21,s998,AX,A,X,nan,nan,False
0,22,s998,NG,B,3,nan,nan,True
0,23,s998,AY,E,Y,nan,nan,False
0,24,s998,AX,A,X,nan,nan,False
0,25,s998,AX,A,X,nan,nan,False
0,26,s998,BY,B,Y,nan,nan,False
0,27,s998,AY,P,Y,nan,nan,False
0,28,s998,AX,A,X,nan,nan,False
0,29,s998,AX,A,X,nan,nan,False
0,30,s998,NG,A,4,nan,nan,True
0,31,s998,BX,B,M,nan,nan,False
0,32,s998,BY,B,Y,nan,nan,False
0,33,s998,AX,A,X,nan,nan,False
0,34,s998,AX,A,X,nan,nan,False
0,35,s998,BY,B,Y,nan,nan,False
0,36,s998,BX,B,X,nan,nan,False
0,37,s998,BY,B,Y,nan,nan,False
0,38,s998,AX,A,X,nan,nan,False
0,39,s998,BX,B,M,nan,nan,False
0,40,s998,AX,A,X,nan,nan,False
0,41,s998,BY,B,Y,nan,nan,False
0,42,s998,BX,B,Q,nan,nan,False
0,43,s998,NG,B,6,nan,nan,True
0,44,s998,BY,B,Y,nan,nan,False
0,45,s998,AX,A,X,nan,nan,False
0,46,s998,NG,B,2,nan,nan,True
0,47,s998,AY,P,Y,nan,nan,False
0,48,s998,BX,B,X,nan,nan,False
0,49,s998,NG,A,2,nan,nan,True
0,50,s998,BY,B,Y,nan,nan,False
0,51,s998,AY,S,Y,nan,nan,False
0,52,s998,NG,B,2,nan,nan,True
0,53,s998,AX,A,X,nan,nan,False
0,54,s998,AX,A,X,nan,nan,False
0,55,s998,BY,B,Y,nan,nan,False
0,56,s998,AX,A,X,nan,nan,False
0,57,s998,AX,A,X,nan,nan,False
0,58,s998,BY,B,Y,nan,nan,False
0,59,s998,AX,A,X,nan,nan,False
0,60,s998,BY,B,Y,nan,nan,False
0,61,s998,NG,A,9,nan,nan,True
1,0,s998,AX,nan,nan,nan,nan,nan
1,1,s998,BY,nan,nan,nan,nan,nan
1,2,s998,AX,nan,nan,nan,nan,nan
1,3,s998,BY,nan,nan,nan,nan,nan
1,4,s998,AX,nan,nan,nan,nan,nan
1,5,s998,BY,nan,nan,nan,nan,nan
1,6,s998,NG,nan,nan,nan,nan,nan
1,7,s998,BY,nan,nan,nan,nan,nan
1,8,s998,AY,nan,nan,nan,nan,nan
1,9,s998,BX,nan,nan,nan,nan,nan
1,10,s998,BY,nan,nan,nan,nan,nan
1,11,s998,AX,nan,nan,nan,nan,nan
1,12,s998,AX,nan,nan,nan,nan,nan
1,13,s998,AY,nan,nan,nan,nan,nan
1,14,s998,BY,nan,nan,nan,nan,nan
1,15,s998,NG,nan,nan,nan,nan,nan
1,16,s998,BY,nan,nan,nan,nan,nan
1,17,s998,AY,nan,nan,nan,nan,nan
1,18,s998,AX,nan,nan,nan,nan,nan
1,19,s998,NG,nan,nan,nan,nan,nan
