block,trial,subj,trialType,cue,probe,response,rt,accuracy
0,0,s003,AY,A,M,right,0.44567394256591797,True
0,1,s003,BY,P,J,left,0.5768840312957764,False
0,2,s003,AY,A,F,right,0.47822093963623047,True
0,3,s003,AX,A,X,left,0.2477419376373291,True
0,4,s003,BY,E,F,right,1.24387788772583,True
0,5,s003,NG,A,1,right,0.39798879623413086,False
0,6,s003,NG,A,4,right,0.3789529800415039,False
0,7,s003,BX,S,X,right,0.5610568523406982,True
0,8,s003,BY,E,J,right,0.44738292694091797,True
0,9,s003,AX,A,X,left,0.35396599769592285,True
0,10,s003,AX,A,X,left,0.4087860584259033,True
0,11,s003,BY,S,F,right,0.3490428924560547,True
0,12,s003,AY,A,M,right,0.43519020080566406,True
0,13,s003,BY,G,F,right,0.558474063873291,True
0,14,s003,AX,A,X,right,0.4207179546356201,False
0,15,s003,NG,R,4,right,0.6641581058502197,False
0,16,s003,NG,P,3,right,0.3545858860015869,False
0,17,s003,AX,A,X,left,0.2811250686645508,True
0,18,s003,AX,A,X,right,0.3707590103149414,False
0,19,s003,AY,A,Q,right,0.3448150157928467,True
0,20,s003,BY,S,U,right,0.3598480224609375,True
0,21,s003,NG,A,3,right,0.4301152229309082,False
0,22,s003,AX,A,X,left,0.3221089839935303,True
0,23,s003,BY,P,M,right,0.3379549980163574,True
0,24,s003,BY,R,J,right,0.27250099182128906,True
0,25,s003,AX,A,X,left,0.6989209651947021,True
0,26,s003,AX,A,X,left,0.37188291549682617,True
0,27,s003,BY,R,U,right,0.3773179054260254,True
0,28,s003,AX,A,X,left,0.3351888656616211,True
0,29,s003,AX,A,X,left,0.6142981052398682,True
0,30,s003,BY,R,Q,right,0.41022396087646484,True
0,31,s003,BY,G,Q,right,0.42312002182006836,True
0,32,s003,NG,E,5,right,0.2907228469848633,False
0,33,s003,AX,A,X,left,0.37950992584228516,True
0,34,s003,BY,E,U,right,0.38562893867492676,True
0,35,s003,AX,A,X,left,0.3266589641571045,True
0,36,s003,BY,G,Q,right,0.33402299880981445,True
0,37,s003,AX,A,X,left,0.3495659828186035,True
0,38,s003,BY,P,M,right,1.251986026763916,True
0,39,s003,NG,S,4,left,0.38944005966186523,False
0,40,s003,AX,A,X,left,0.33868885040283203,True
0,41,s003,BY,G,J,nan,nan,False
0,42,s003,BX,R,X,right,0.3762969970703125,True
0,43,s003,BX,R,X,right,0.21396303176879883,True
0,44,s003,BY,P,J,right,0.33866214752197266,True
0,45,s003,BX,R,X,right,0.32211899757385254,True
0,46,s003,NG,A,7,left,0.2176821231842041,False
0,47,s003,AX,A,X,left,0.30960917472839355,True
1,0,s003,AX,A,X,left,0.312762975692749,True
1,1,s003,NG,E,9,right,0.21694111824035645,False
1,2,s003,BY,R,F,right,0.30112791061401367,True
1,3,s003,NG,G,2,nan,nan,True
1,4,s003,BY,S,J,right,0.348114013671875,True
1,5,s003,AX,A,X,left,0.36295509338378906,True
1,6,s003,AX,A,X,left,0.3377871513366699,True
1,7,s003,BY,G,M,right,0.43315601348876953,True
1,8,s003,BY,S,U,right,1.0116140842437744,True
1,9,s003,NG,A,8,right,0.4715409278869629,False
1,10,s003,AX,A,X,left,0.4572880268096924,True
1,11,s003,BY,P,U,right,0.4596118927001953,True
1,12,s003,NG,R,6,nan,nan,True
1,13,s003,AX,A,X,left,0.36454010009765625,True
1,14,s003,AX,A,X,left,0.3549320697784424,True
1,15,s003,BX,G,X,right,1.0016231536865234,True
1,16,s003,AY,A,U,right,0.8848109245300293,True
1,17,s003,AX,A,X,left,0.3416311740875244,True
1,18,s003,AX,A,X,left,0.9886341094970703,True
1,19,s003,AY,A,J,right,0.44928908348083496,True
1,20,s003,BY,E,F,right,0.4271700382232666,True
1,21,s003,AX,A,X,left,0.3673250675201416,True
1,22,s003,NG,A,7,nan,nan,True
1,23,s003,BY,S,M,right,0.3555788993835449,True
1,24,s003,NG,A,7,nan,nan,True
1,25,s003,NG,A,4,nan,nan,True
1,26,s003,BY,G,M,right,0.45509815216064453,True
1,27,s003,BY,G,U,right,0.4256110191345215,True
1,28,s003,AY,A,F,right,0.5250248908996582,True
